"Trailer_List","Factura_List","Orden_Compra_List","Proveedor_List","Ref_SL_List","Qty_List","Nombre_Usuario_List","Departamento_Usuario_List","Correo_Usuario_List","Evidencia_Entrega_Imagen_List","Usuario_Recibos_Validador_List","Turno_Validacion_List","FechaEntrega_Misce_List","Fecha_Entrega_Validacion_List","Fecha_Cruce_Mis_List","Estatus_List"
"3111","0000000097491/2-1","704346","DJK GLOBAL MEXICO SA DE CV","244831","4",,,,,,,,,"15/10/2025","Por_Validar"
"3111","41465","741392","CTI SYSTEMS","252715","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","41466","741434","CTI SYSTEMS","252715","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","020DFEA7-8AAA-4FB0-B6CB-807","741026","SANKI M Y T MEXICO S.A. DE C.V ","256800","4",,,,,,,,,"15/10/2025","Por_Validar"
"3111","96900","737834","SEHO NORTH AMERICA, INC.","251239","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","96943","737510","SEHO NORTH AMERICA, INC.","253195","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","13523","736053","RICH SALES INTERNATIONAL","249527","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","136369","736034","AGI CORPORATION","253717","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","136464","729339","AGI CORPORATION","253735","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","19012939 P","742099","AMERICAN HAKKO PRODUCTS,INC","254850","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","60E30B6E-7D90-432C-9B6E-97C","740660","SANKI M Y T MEXICO S.A. DE C.V ","256800","4",,,,,,,,,"15/10/2025","Por_Validar"
"3111","717400","741021","ZYBEL INTERNATIONAL INC","256491","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","800104898","742548","UNITED GRINDING NORTH AMERICA, INC","256661","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","90560654","728824","PANASONIC CONNECT NORTH AMERICA PROCESS AUTOMATION","252806","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","90560740","731332","PANASONIC CONNECT NORTH AMERICA PROCESS AUTOMATION","253189","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","B0B3D15B-EE9D-4E46-9C31-B98","740176","SANKI M Y T MEXICO S.A. DE C.V ","256800","4",,,,,,,,,"15/10/2025","Por_Validar"
"3111","CAE7984C-9A8E-46AA-AC47-4D8","740661","SANKI M Y T MEXICO S.A. DE C.V ","256800","4",,,,,,,,,"15/10/2025","Por_Validar"
"3111","INV-278382","720513","MEIJI CORPORATION","255986","3",,,,,,,,,"15/10/2025","Por_Validar"
"3111","INV-278596","736944","MEIJI CORPORATION","256404","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","INV-278857","741439","MEIJI CORPORATION","252799","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","INV-278917","736951","MEIJI CORPORATION","252799","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","INV-278929","737146","MEIJI CORPORATION","252799","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","INV-278936","734947","MEIJI CORPORATION","252799","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","INV-278943","734935","MEIJI CORPORATION","252799","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","INV-280174","737870","MEIJI CORPORATION","256493","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","IV1018420250925102","736763","GUANGDONG WORLD PRECISION TECHNOLOGY CO., LTD","251956","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","M090250","729153","TOYOTA TSUSHO AMERICA, INC.","255992","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","NU-60341108","718305","NUTEK AMERICAS INC.","246147","1",,,,,,,,,"15/10/2025","Por_Validar"
"3111","W09-30-253","733557","MANUFACTURING SUPPORT & SUPPLIES CORPORATION","253710","1",,,,,,,,,"15/10/2025","Por_Validar"
"278","DEN31031","731199","EUNIL H.A. AMERICAS, INC.","250746","2",,,,,,,,,"13/10/2025","Por_Validar"
"85BE1U","4823249","741308","TOYOTA TSUSHO AMERICA, INC.","256737","1",,,,,,,,,"13/10/2025","Por_Validar"
"67BC3X","251001-DNMX","741674","HAMADEN VIETNAM CO.,LTD","256146","1",,,,,,,,,"13/10/2025","Por_Validar"
"537","13274128","739782","DENSO PRODUCTS AND SERVICES AMERICAS INC","253242","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","1A7D2237-926A-4242-8347-DE0C","739048","SANKI M Y T MEXICO S.A. DE C.V ","252801","3",,,,,,,,,"10/10/2025","Por_Validar"
"537","25-15453","739112","SOLUTION TOOLS MOLD & DIE INC.","251742","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","2603021","725717","DENSO PRODUCTS AND SERVICES AMERICAS INC","247654","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","273E0D30-F6B9-4984-9B0E-671","739045","SANKI M Y T MEXICO S.A. DE C.V ","252801","3",,,,,,,,,"10/10/2025","Por_Validar"
"537","484637AD-5A0A-4F47-8B55-DEC","738159","SANKI M Y T MEXICO S.A. DE C.V ","252801","3",,,,,,,,,"10/10/2025","Por_Validar"
"537","90560476","734494","PANASONIC CONNECT NORTH AMERICA PROCESS AUTOMATION","250805","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","90560738","729500","PANASONIC CONNECT NORTH AMERICA PROCESS AUTOMATION","253186","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","A6F83AEF-C422-4983-A932-9EC5","739100","SANKI M Y T MEXICO S.A. DE C.V ","252801","3",,,,,,,,,"10/10/2025","Por_Validar"
"537","C0920051-2338-48FF-9D5C-ECA","737214","SANKI M Y T MEXICO S.A. DE C.V ","252801","3",,,,,,,,,"10/10/2025","Por_Validar"
"537","DR-25100007","735317","NITTOKU AMERICA INC","256037","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-277071","736304","MEIJI CORPORATION","249071","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-277072","736310","MEIJI CORPORATION","249071","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-277073","739780","MEIJI CORPORATION","249071","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-277197C","735463","MEIJI CORPORATION","249071","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-279608","727359","MEIJI CORPORATION","253671","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-279619-B","738016","MEIJI CORPORATION","254995","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-279630","734827","MEIJI CORPORATION","254995","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-279791","738873","MEIJI CORPORATION","254996","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-279792","741469","MEIJI CORPORATION","254996","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-279931","741965","MEIJI CORPORATION","255995","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","INV-280069","734592","MEIJI CORPORATION","255999","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","IVJPCH252921","702611","JAPAN STEEL WORKS AMERICA, INC.","252924","1",,,,,,,,,"10/10/2025","Por_Validar"
"537","THA41832","742585","TAMURA H.A. MACHINERY, INC","256040","1",,,,,,,,,"10/10/2025","Por_Validar"
"280","96877","737507","SEHO NORTH AMERICA, INC.","250359","1",,,,,,,,,"08/10/2025","Por_Validar"
"280","96894","734954","SEHO NORTH AMERICA, INC.","251242","1",,,,,,,,,"08/10/2025","Por_Validar"
